pair,date,open,high,low,close,max_up_pips,max_down_pips,max_profit,max_loss,daily_return,rolling_std,label,high_impact_count,medium_impact_count,low_impact_count,max_z_score,sum_signal,dominant_direction,max_surprise_z,sum_signal_surprise
USDJPY,2025-04-17,141.744,143.087,141.609,142.43,13430,1350,0.9474827858674718,-0.0952421266508571,0.4839711028332819,0.8985670732276315,3.0,1.0,1.0,5.0,1.3984079536539205,-4.091220113664403,-0.3779826040759872,1.3984079536539205,-3.8857310185311498
USDJPY,2025-04-18,142.437,142.47,142.098,142.15,330,3390,0.0231681374923559,-0.2379999578761126,-0.2014925897063306,0.8901029641770993,1.0,0.0,0.0,1.0,0.1513058851250882,-0.1513058851250882,-0.1513058851250882,0.1513058851250882,-0.1513058851250882
USDJPY,2025-04-21,141.904,142.129,140.467,140.808,2250,14370,0.1585578982974365,-1.012656443792975,-0.7723531401510907,0.8611519507244508,6.0,0.0,0.0,1.0,1.095769339916186,-1.095769339916186,-1.095769339916186,1.0096007569049297,-1.0096007569049297
USDJPY,2025-04-22,140.8,142.558,139.882,142.551,17580,9180,1.248579545454532,-0.6519886363636408,1.2436079545454377,0.9236755156565808,4.0,0.0,1.0,1.0,0.8912955964937032,-1.9615927835021219,-0.5351485935042093,0.8912955964937032,-1.9615927835021219
USDJPY,2025-04-23,142.543,143.574,141.524,143.124,10310,10190,0.7232905158443458,-0.714872003535779,0.4075963042730887,0.9231842903419502,2.0,2.0,1.0,3.0,1.0889738948105874,-0.7016329677502845,-0.018498795451845514,1.0970670951027215,-0.7230301240929753
USDJPY,2025-04-24,143.15,143.338,142.274,142.676,1880,8760,0.1313307719175607,-0.6119455117010162,-0.331121201536862,0.9150743610420092,4.0,1.0,3.0,2.0,2.135985071715578,1.0317273434177268,0.1985122225296884,2.135985071715578,1.0317273434177268
USDJPY,2025-04-25,142.682,144.03,142.632,143.623,13480,500,0.9447582736434962,-0.0350429626722242,0.6595085574914864,0.925547407307311,1.0,0.0,2.0,1.0,1.2163784866584928,3.2414314542649096,0.45294442371662874,1.2163784866584928,3.2414314542649096
USDJPY,2025-04-28,143.605,143.894,141.954,142.065,2890,16510,0.2012464747049306,-1.14968141777792,-1.0723860589812275,0.9434568438103516,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDJPY,2025-04-29,142.069,142.757,141.968,142.264,6880,1010,0.4842717271185245,-0.0710922157543159,0.1372572482385472,0.94682160889081,4.0,1.0,2.0,3.0,1.4235415243210887,-6.529127948234954,-0.5499866259534393,1.4235415243210887,-6.661316167201477
USDJPY,2025-04-30,142.268,143.19,142.154,142.95,9220,1140,0.6480726516152593,-0.0801304580088314,0.4793769505440352,0.952875340950006,6.0,4.0,2.0,7.0,3.764301990517216,-5.738581928045962,-0.09689283544205848,3.764301990517216,-5.738581928045962
